Rank,Name of City,District,Latitude,Longitude
1,Jamshedpur,East Singhbhum Seraikela Kharsawan,22.78150000000005,86.21215000000007
2,Dhanbad,Dhanbad,23.79595000000006,86.43058000000008
3,Ranchi,Ranchi,23.350600000000043,85.31378000000007
4,Bokaro Steel City,Bokaro,23.65903000000003,86.13716000000005
5,Deoghar,Deoghar,24.489070000000027,86.69950000000006
6,Chakradharpur,West Singhbum,22.672370000000058,85.62049000000007
7,Phusro,Bokaro,23.765100000000075,85.99122000000006
8,Hazaribagh,Hazaribag,23.998790000000042,85.36729000000008
9,Giridih,Giridih,24.187110000000075,86.30464000000006
10,Ramgarh,Ramgarh,24.563550000000077,87.25026000000008
11,Medininagar,Palamu,24.03779000000003,84.06237000000004
12,Chirkunda,Dhanbad,23.74186000000003,86.79578000000004
